Brand,Name,Year,Model,Transmission,Kms,Owner,Fuel Type,Registration,EMI,Price,State
Maruti,Maruti Dzire,2021,VXI AMT,Automatic,2604,1,Petrol,MH-04,15712,836699,Maharashtra
Honda,Honda Jazz,2017,VX  1.2,Manual,15621,1,Petrol,MH-04,11321,579099,Maharashtra
Maruti,Maruti Vitara Brezza,2021,ZXI +,Manual,5004,1,Petrol,MH-46,20413,1086999,Maharashtra
Hyundai,Hyundai Creta,2016,1.6 SX PLUS VTVT,Manual,52905,1,Petrol,MH-02,17164,913999,Maharashtra
Ford,Ford Ecosport,2021,TITANIUM PLUS SE1.5 TDCI MT,Manual,13085,1,Diesel,MH-46,22989,1224199,Maharashtra
Hyundai,Hyundai NEW SANTRO,2019,SPORTZ AMT ANNIVERSARY EDITION,Automatic,6335,1,Petrol,MH-04,11609,593799,Maharashtra
Maruti,Maruti Celerio,2018,VXI CNG,Manual,26129,1,Petrol + CNG,MH-01,10387,531299,Maharashtra
Hyundai,Hyundai AURA,2020,S CNG,Manual,51656,1,Petrol + CNG,MH-14,15304,782799,Maharashtra
Mahindra,Mahindra XUV500,2016,W10 AT FWD,Automatic,94543,2,Diesel,MH-04,18963,1009799,Maharashtra
Maruti,Maruti Celerio X,2019,Zxi,Manual,42820,1,Petrol + CNG,MH-04,10233,523399,Maharashtra
Maruti,Maruti Swift,2014,VDI,Manual,95154,2,Diesel,MH-02,7994,408899,Maharashtra
Tata,Tata Harrier,2019,XZ 2.0L Kryotec,Manual,49651,1,Diesel,MH-01,26937,1434399,Maharashtra
Maruti,Maruti Baleno,2018,DELTA 1.2 K12,Manual,20968,1,Petrol,MH-04,11628,594799,Maharashtra
Maruti,Maruti Celerio,2018,VXI CNG OPT,Manual,31954,1,Petrol + CNG,MH-03,10837,554299,Maharashtra
Volkswagen,Volkswagen Vento,2021,HIGHLINE PLUS 1.0 TSI AT,Automatic,18774,1,Petrol,MH-06,26621,1417599,Maharashtra
Hyundai,Hyundai Xcent,2015,SX 1.2 OPT,Manual,62208,1,Petrol,MH-06,8887,454599,Maharashtra
Maruti,Maruti Dzire,2017,VXI AMT,Automatic,19756,1,Petrol,MH-02,13400,685399,Maharashtra
Volkswagen,Volkswagen Polo,2017,GT TSI 1.2 PETROL AT,Automatic,65971,1,Petrol,MH-43,13908,711399,Maharashtra
Hyundai,Hyundai GRAND I10 NIOS,2021,SPORTZ CNG MT,Manual,9968,1,Petrol + CNG,MH-05,14340,733499,Maharashtra
Maruti,Maruti Wagon R 1.0,2017,VXI PLUS,Manual,27590,1,Petrol,MH-05,7961,407199,Maharashtra
Hyundai,Hyundai Verna,2018,1.6 SX VTVT AT (O),Automatic,37318,1,Petrol,MH-05,17277,919999,Maharashtra
Ford,Ford Figo Aspire,2018,1.2 TITANIUM PETROL,Manual,17869,1,Petrol,MH-05,10420,532999,Maharashtra
Ford,Ford Ecosport,2017,1.5 TITANIUM TI VCT,Manual,32374,1,Petrol,MH-04,13636,697499,Maharashtra
Datsun,Datsun Redi Go,2017,T (O),Manual,24084,2,Petrol,MH-43,5032,257399,Maharashtra
Hyundai,Hyundai NEW SANTRO,2020,1.1 MAGNA CNG MT,Manual,24669,1,Petrol + CNG,MH-46,11423,584299,Maharashtra
Nissan,Nissan Micra,2015,XV CVT,Automatic,15787,1,Petrol,MH-03,8412,430299,Maharashtra
Maruti,Maruti Wagon R 1.0,2016,VXI AMT,Automatic,14276,1,Petrol,MH-47,8455,432499,Maharashtra
Hyundai,Hyundai Elite i20,2017,SPORTZ 1.2,Manual,29858,1,Petrol,MH-03,12072,617499,Maharashtra
Hyundai,Hyundai GRAND I10 NIOS,2022,SPORTZ CNG MT,Manual,1648,1,Petrol + CNG,MH-46,16287,867299,Maharashtra
Hyundai,Hyundai Xcent,2016,SX 1.2,Manual,28646,1,Petrol,MH-05,10538,538999,Maharashtra
Mahindra,Mahindra XUV500,2018,W11 AT,Automatic,54350,2,Diesel,MH-47,28193,1501299,Maharashtra
Hyundai,Hyundai VENUE,2019,1.0L Turbo GDI SX(O) MT,Manual,10645,1,Petrol,MH-02,21085,1122799,Maharashtra
Skoda,Skoda Rapid,2020,ACTIVE 1.0 TSI,Manual,47165,1,Petrol,MH-43,16349,870599,Maharashtra
Honda,Honda Jazz,2018,1.2 V MT,Manual,15836,1,Petrol,MH-03,13112,670699,Maharashtra
Skoda,Skoda Rapid,2019,1.6 MPI STYLE AT,Automatic,16720,1,Petrol,MH-03,17784,946999,Maharashtra
Maruti,Maruti Ciaz,2017,VXI PLUS,Manual,62922,1,Petrol,MH-05,11879,607599,Maharashtra
Maruti,Maruti Celerio,2014,ZXI,Manual,89530,2,Petrol,MH-01,6098,311899,Maharashtra
